Prediction Date,Actual Outcome,Predicted Outcome,Win Probability,Confidence Score,Prediction Correct
2025-11-28,Abandoned,Abandoned,0.0954,High,True
2026-01-05,Abandoned,Abandoned,0.0559,High,True
2026-01-30,Abandoned,Abandoned,0.0954,High,True
2026-02-27,Abandoned,Abandoned,0.0954,High,True
2026-04-10,Abandoned,Abandoned,0.0954,High,True
2026-05-08,Abandoned,Abandoned,0.0954,High,True
2025-11-28,Won,Lost,0.4309,Medium,False
2025-11-28,Abandoned,Abandoned,0.3217,Medium,True
2026-01-05,Abandoned,Abandoned,0.2585,Medium,True
2025-11-28,Abandoned,Won,0.4716,Medium,False
2026-01-05,Abandoned,Lost,0.3941,Low,False
2026-01-30,Abandoned,Lost,0.4413,Low,False
2025-11-28,Abandoned,Abandoned,0.2956,Medium,True
2026-01-05,Abandoned,Abandoned,0.2377,Medium,True
2025-11-28,Abandoned,Abandoned,0.4034,Medium,True
2026-01-05,Abandoned,Abandoned,0.3665,Medium,True
2026-01-30,Abandoned,Abandoned,0.3577,Medium,True
2026-02-27,Abandoned,Abandoned,0.3577,Medium,True
2026-04-10,Abandoned,Abandoned,0.3174,Medium,True
2025-11-28,Abandoned,Abandoned,0.2724,Medium,True
2026-01-05,Abandoned,Abandoned,0.2633,Medium,True
2025-11-28,Abandoned,Abandoned,0.3633,Medium,True
2026-01-05,Abandoned,Abandoned,0.2921,Medium,True
2025-11-28,Abandoned,Abandoned,0.4171,Medium,True
2026-01-05,Abandoned,Abandoned,0.3507,Medium,True
2025-11-28,Abandoned,Abandoned,0.3063,Medium,True
2026-01-05,Abandoned,Abandoned,0.2306,Medium,True
2025-11-28,Abandoned,Abandoned,0.3726,Medium,True
2026-01-05,Abandoned,Abandoned,0.2997,Medium,True
2025-11-28,Abandoned,Abandoned,0.3726,Medium,True
2026-01-05,Abandoned,Abandoned,0.2997,Medium,True
2025-11-28,Abandoned,Abandoned,0.1777,High,True
2026-01-05,Abandoned,Abandoned,0.148,High,True
2026-01-30,Abandoned,Abandoned,0.1777,High,True
2025-11-28,Abandoned,Abandoned,0.2049,Medium,True
2026-01-05,Abandoned,Abandoned,0.1546,Medium,True
2026-01-30,Abandoned,Abandoned,0.1615,Medium,True
2026-02-27,Abandoned,Abandoned,0.1436,Medium,True
2025-11-28,Abandoned,Abandoned,0.3034,Low,True
2026-01-05,Abandoned,Abandoned,0.3064,Low,True
2026-01-30,Abandoned,Abandoned,0.3034,Low,True
2026-02-27,Abandoned,Abandoned,0.3034,Low,True
2026-04-10,Abandoned,Abandoned,0.3034,Low,True
2025-11-28,Abandoned,Abandoned,0.3083,Medium,True
2026-01-05,Abandoned,Abandoned,0.2699,Medium,True
2025-11-28,Won,Abandoned,0.1342,Medium,False
2026-01-05,Won,Abandoned,0.1038,Medium,False
2026-01-30,Won,Lost,0.1828,High,False
2025-11-28,Abandoned,Won,0.7306,High,False
2026-01-05,Abandoned,Won,0.7459,High,False
2026-01-30,Abandoned,Won,0.8105,High,False
2026-02-27,Abandoned,Won,0.7306,High,False
2026-04-10,Abandoned,Won,0.7306,High,False
2026-05-08,Abandoned,Won,0.7859,High,False
2025-11-28,Abandoned,Won,0.4673,Medium,False
2026-01-05,Abandoned,Lost,0.3772,Medium,False
2026-01-30,Abandoned,Won,0.4521,Medium,False
2026-02-27,Abandoned,Won,0.4521,Medium,False
2026-04-10,Abandoned,Won,0.4569,Medium,False
2025-11-28,Abandoned,Abandoned,0.2508,High,True
2026-01-05,Abandoned,Abandoned,0.2758,Medium,True
2025-11-28,Abandoned,Abandoned,0.2317,High,True
2026-01-05,Abandoned,Abandoned,0.2056,High,True
2026-01-30,Abandoned,Abandoned,0.2298,High,True
2026-02-27,Abandoned,Abandoned,0.1981,High,True
2026-04-10,Abandoned,Abandoned,0.0642,High,True
2026-05-08,Abandoned,Abandoned,0.0714,High,True
2025-11-28,Abandoned,Won,0.6825,Medium,False
2026-01-05,Abandoned,Won,0.6052,Medium,False
2026-01-30,Abandoned,Won,0.6825,Medium,False
2025-11-28,Abandoned,Won,0.6825,Medium,False
2026-01-05,Abandoned,Won,0.6052,Medium,False
2026-01-30,Abandoned,Won,0.6825,Medium,False
2025-11-28,Abandoned,Won,0.6825,Medium,False
2026-01-05,Abandoned,Won,0.6052,Medium,False
2026-01-30,Abandoned,Won,0.6825,Medium,False
2025-11-28,Abandoned,Won,0.7214,High,False
2026-01-05,Abandoned,Won,0.7429,High,False
2026-01-30,Abandoned,Won,0.7252,High,False
2025-11-28,Abandoned,Won,0.6723,Medium,False
2026-01-05,Abandoned,Won,0.6961,Medium,False
2026-01-30,Abandoned,Won,0.6859,Medium,False
2025-11-28,Abandoned,Abandoned,0.4052,Medium,True
2026-01-05,Abandoned,Abandoned,0.3191,Medium,True
2025-11-28,Won,Won,0.6709,Medium,True
2026-01-05,Won,Won,0.5488,Medium,True
2025-11-28,Abandoned,Abandoned,0.3022,Medium,True
2026-01-05,Abandoned,Abandoned,0.1651,Medium,True
2026-01-30,Abandoned,Abandoned,0.3022,Medium,True
2026-02-27,Abandoned,Abandoned,0.3022,Medium,True
2026-04-10,Abandoned,Abandoned,0.302,Medium,True
2025-11-28,Abandoned,Abandoned,0.312,Medium,True
2026-01-05,Abandoned,Abandoned,0.2336,Medium,True
2026-01-30,Abandoned,Abandoned,0.312,Medium,True
2026-02-27,Abandoned,Abandoned,0.312,Medium,True
